commit_hash,commit_date,last_timestamp,n_samples,mae,mape,last_week_mae,update_mae,ewm_std_full,last24_std,price_buffer_len,error_history_len,consumer_surcharge
7c1b79731e374763b95bc0e565ca729ecdb8105e,2026-03-26T15:18:55+01:00,2026-03-26T22:45:00+00:00,3848,20.69,43.2,27.68,8.17,,,200,0,
6d7c2de452913e6c63517f79dd95872ea425b15c,2026-03-26T15:54:40+01:00,2026-03-26T22:45:00+00:00,3848,20.69,43.2,27.68,8.17,30.4435,30.2598,200,500,
e2c3b28bf85fd1f145828d5c35e55fcf01c1ff4d,2026-03-26T17:40:18+01:00,2026-03-26T22:45:00+00:00,4095,17.15,47.3,22.59,2.32,24.9444,21.4971,200,500,
bbaa2c8e14e4de520a960257cb735dd345cb62b1,2026-03-26T19:22:04+01:00,2026-03-27T22:00:00+00:00,4119,17.15,47.3,22.59,17.97,30.7660,28.8060,200,500,
904c524014a4ea044160221a48bc821f286d2fdc,2026-03-27T20:35:18+01:00,2026-03-27T22:00:00+00:00,4119,17.15,47.3,22.59,17.97,30.7660,28.8060,200,500,110.85
ab203fa247fcf77615c5dd30dd5f80d50df2a44a,2026-03-28T19:22:16+01:00,2026-03-28T22:00:00+00:00,4192,13.8,40.8,21.12,,30.4402,33.1887,200,500,110.85
5a686b884c48bf7742cb73330837d770ddef5548,2026-03-29T16:45:06+02:00,2026-03-29T21:45:00+00:00,4263,13.8,40.8,21.12,19.51,27.3636,32.7420,200,500,110.85
3664c8b3ae0627ffcad05d7da5481a0ad478a055,2026-03-30T16:45:07+02:00,2026-03-30T21:45:00+00:00,4359,13.8,40.8,21.12,17.65,19.8300,12.0548,200,500,110.85
98c749cb868319bd006bc4928dfa616b47a07ab3,2026-03-31T16:45:10+02:00,2026-03-31T21:45:00+00:00,4455,13.8,40.8,21.12,17.87,16.1313,8.6750,200,500,110.85
a279cc4247aadb272506dcbcc9bc213da5372ffa,2026-04-01T16:45:12+02:00,2026-04-01T21:45:00+00:00,4551,13.8,40.8,21.12,15.94,16.8892,15.4433,200,500,110.85
5aadf209b89b17028e0cc7c7ea22a3fc2c228a16,2026-04-02T16:45:08+02:00,2026-04-02T21:45:00+00:00,4647,13.8,40.8,21.12,14.54,13.8872,9.7052,200,500,110.85
d2c85d1a6e5ab181d55ef51f05cf858729f9a8ae,2026-04-03T16:45:07+02:00,2026-04-03T21:45:00+00:00,4743,13.8,40.8,21.12,25.06,27.5136,9.0788,200,500,110.85
368d7bd23bb3b6604c94f9b63ef2da131bff343a,2026-04-04T16:45:06+02:00,2026-04-04T21:45:00+00:00,4839,13.8,40.8,21.12,36.15,34.3098,20.3439,200,500,110.85
858c9177c27c2b9d73576de6d21f205192875272,2026-04-05T16:45:06+02:00,2026-04-05T21:45:00+00:00,4935,13.8,40.8,21.12,36.12,40.8068,29.6282,200,500,110.85
e37f42e5d4b627a434ddb1cd3bbc0e6980ad4d23,2026-04-06T16:45:06+02:00,2026-04-06T21:45:00+00:00,5031,13.8,40.8,21.12,39.08,48.8100,40.3950,200,500,110.85
0cd2e1f2b50943790dc65a5057b5315daaafb532,2026-04-07T16:45:06+02:00,2026-04-07T21:45:00+00:00,5127,13.8,40.8,21.12,21.72,33.5910,27.2227,200,500,110.85
456ed1ff5bc9ce91c950388e423c38dd520edacf,2026-04-09T16:45:09+02:00,2026-04-09T21:45:00+00:00,5319,13.8,40.8,21.12,15.34,16.6212,11.1087,200,500,110.85
4e75f426da7920324f928ace54e274659b0dd576,2026-04-10T16:45:06+02:00,2026-04-10T21:45:00+00:00,5415,13.8,40.8,21.12,27.1,39.6284,46.6775,200,500,110.85
0504f98c7b763ebdce55f2978b769324881aa9ff,2026-04-11T16:45:06+02:00,2026-04-11T21:45:00+00:00,5511,13.8,40.8,21.12,26.99,33.5139,24.5628,200,500,110.85
f3849c1ae0dae406bc4e6c67050b3bb264c8eda4,2026-04-12T16:45:06+02:00,2026-04-12T21:45:00+00:00,5607,13.8,40.8,21.12,26.58,31.9418,19.6927,200,500,110.85
7b901971b8187deefe81a26fabb0f2af12c061b8,2026-04-13T16:45:06+02:00,2026-04-13T21:45:00+00:00,5703,13.8,40.8,21.12,21.56,21.3093,20.3019,200,500,110.85
1fb7339bb4d5490ae045fe1c4438099bb4f16c49,2026-04-14T16:45:07+02:00,2026-04-14T21:45:00+00:00,5799,23.56,40.8,21.27,18.02,33.2362,40.7240,200,500,110.85
7e9a71dd88f2acb42d87f94a472c4d626b206355,2026-04-15T16:45:09+02:00,2026-04-15T21:45:00+00:00,5895,23.13,40.8,18.77,16.32,22.0404,17.5713,200,500,110.85
99c2380d5f493f46e0861c7ed2ae6797c6cea8b9,2026-04-16T16:45:07+02:00,2026-04-16T21:45:00+00:00,5991,19.24,40.8,16.5,13.97,18.6827,19.1057,200,500,110.85
00550502d62e257fb6504006e29bf58dc8bc7f8d,2026-04-17T16:45:07+02:00,2026-04-17T21:45:00+00:00,6087,16.4,40.8,11.89,9.18,11.9968,9.2478,200,500,110.85
b897c5632704d430cc50a3444da8fbcd04bf3b93,2026-04-18T16:45:07+02:00,2026-04-18T21:45:00+00:00,6183,14.13,40.8,11.3,11.89,15.0677,4.9246,200,500,110.85
40974bf7f21ae9141dc55d70116938ab56d83ea7,2026-04-19T16:45:06+02:00,2026-04-19T21:45:00+00:00,6279,13.72,40.8,13.21,12.04,14.8459,6.4231,200,500,110.85
72be88b70cd6b6583fae95045607405712907eb8,2026-04-20T16:45:06+02:00,2026-04-20T21:45:00+00:00,6375,11.81,40.8,12.81,11.11,14.6255,9.7937,200,500,110.85
12f0177ddc18a3702d77632e086f1a5ce5e0412d,2026-04-21T16:45:08+02:00,2026-04-21T21:45:00+00:00,6471,12.16,40.8,14.78,15.81,16.1622,9.1064,200,500,110.85
a68c1df3f55b6f49cb8b303a9c0a593ba2aa34ff,2026-04-23T16:45:08+02:00,2026-04-23T21:45:00+00:00,6663,15.24,40.8,21.19,19.44,28.8698,17.8643,200,500,110.85
b634fe578b70385c071b56766d27255518f76db6,2026-04-24T16:45:07+02:00,2026-04-24T21:45:00+00:00,6759,15.14,40.8,18.68,12.08,19.8249,16.6627,200,500,110.85
b30c0736dc90b62273ef3f68296701b3e7c9a10e,2026-04-25T16:45:07+02:00,2026-04-25T21:45:00+00:00,6855,21.2,40.8,30.22,41.68,53.2552,29.6922,200,500,110.85
2f1ee8b5c366a80a08215da2edf40afac01fca01,2026-04-26T16:45:06+02:00,2026-04-26T21:45:00+00:00,6951,31.35,40.8,61.81,69.05,104.0462,29.9523,200,500,110.85
844dd012dccfcd016d3a978879ff8c18ff203c4e,2026-04-27T16:45:07+02:00,2026-04-27T21:45:00+00:00,7047,33.84,40.8,54.03,27.79,44.4633,32.9115,200,500,110.85
b32f6514e6d321dbc744e4c1b6f822083a253957,2026-04-28T16:45:06+02:00,2026-04-28T21:45:00+00:00,7143,35.58,40.8,30.73,28.96,36.0835,15.1512,200,500,110.85
